epoch train_acc1 train_acc2 test_acc1 test_acc2 pure_ratio1 pure_ratio2
0: 0 0 10.03 10.39 0 0
1 46.98449488491048 47.312979539641944 53.34 54.41 80.21716833890748 80.18975670535774
2 57.88083439897698 58.51062979539642 56.49 59.1 80.64050056380734 80.55035759286265
3 61.47498401534527 61.48657289002558 60.67 58.31 80.72405294460361 80.72835133915326
4 63.42431265984655 63.51822250639386 63.51 64.8 80.8855376233453 80.91995668832263
5 64.53724424552429 64.60437979539643 63.6 63.25 81.33524684307552 81.42351608690225
6 65.5246962915601 65.78045076726343 66.69 64.76 82.16481505817654 82.10065741367863
7 66.44980818414322 66.62843670076727 70.51 69.7 83.47552518736245 83.43381840442571
8 67.23625319693095 67.25743286445012 72.04 72.58 85.10010024076509 85.08698462662642
9 67.8212915601023 67.71739130434783 72.66 73.83 86.92016448523158 86.85246477107488
10 68.39993606138107 68.41152493606138 73.51 70.86 87.49670904167301 87.54434958126483
11 69.1711956521739 69.14322250639387 76.4 70.3 88.21131713554996 88.14863221503443
12 69.75783248081841 69.67710997442455 75.84 76.27 88.31764643197455 88.42797189208183
13 69.90968670076727 69.81857416879795 76.82 74.55 88.54581954265089 88.5057011935211
14 70.51150895140665 70.49392583120205 75.51 71.19 88.971528509102 88.9955838473499
15 70.78125 70.77885230179028 78.44 77.2 89.30258324557458 89.38031254701379
16 71.27837276214834 71.45780051150895 76.07 77.33 89.60691853467745 89.59790757735334
17 71.67239450127877 71.51294757033249 79.04 77.47 89.88578807482092 89.9374247780956
18 71.96611253196932 71.85342071611254 77.42 79.52 89.90177272955246 90.01711298330093
19 72.18789961636828 72.25263746803068 77.49 76.35 90.27890088260382 90.25484554435599
20 62.8272858056266 62.691815856777495 68.77 69.07 76.16674101276942 76.35395049818564
21 65.68054667519182 65.76326726342711 69.0 64.71 75.83721260627767 76.3104504451218
22 67.42407289002557 67.49160805626599 68.53 73.12 75.37039281453963 75.44937343031543
23 68.20492327365729 68.41871803069054 75.03 76.69 74.95773603113886 75.66059990476826
24 68.88347186700767 68.76838235294117 74.9 74.33 73.36975064284745 74.35352805056208
25 70.01438618925832 70.0675351662404 75.5 75.91 74.33221900623107 74.38643918390419
26 70.09390984654732 70.06074168797954 75.66 77.08 73.05822422437852 73.38406236751068
27 70.24656329923273 70.37883631713555 77.34 78.85 75.17787227817331 75.88635716702643
28 70.71970907928389 70.67615089514067 75.92 74.57 74.60142404970574 74.40839959355912
29 70.98345588235294 70.66536125319693 77.22 76.2 74.37318463992801 74.35367062690895
30 71.22562340153452 71.25079923273657 78.12 78.71 74.55180508808814 74.7609706443514
31 71.48177749360613 71.67958759590793 75.62 76.6 72.82360671962716 73.17150218631988
32 71.48137787723785 71.5149456521739 76.87 77.98 72.54527682476706 72.88731295971922
33 71.60725703324808 71.80067135549872 79.23 75.14 72.81033777787225 73.68625447542598
34 72.10637787723785 72.01686381074168 77.65 78.67 72.82087397118815 72.39220672654541
35 72.03644501278772 72.20987851662404 78.78 80.15 72.93687259493954 73.42110316887222
36 72.20867966751918 72.38570971867007 79.08 80.1 72.62852039998248 72.302962433423
37 72.50759271099744 72.38810741687979 80.08 79.4 72.51767146213987 72.10109748196776
38 72.5707320971867 72.66464194373401 78.73 79.4 73.50354218679264 73.48043514322521
39 72.72058823529412 72.76294757033249 78.87 80.11 72.28215163498638 72.72194143661947
40 72.7949168797954 72.86045396419438 78.66 78.89 73.2725717332208 72.40584659679541
41 73.10262148337596 72.94477301790282 81.38 81.04 72.18989761810481 73.36200256867352
42 72.59630754475704 72.80490728900256 80.49 80.79 73.37948031775707 73.32216855879705
43 73.33120204603581 73.14617966751918 77.31 78.84 72.21394975070956 71.66291225444347
44 73.3108216112532 73.32920396419438 76.71 78.28 71.85474082025158 72.27603913536625
45 73.28524616368287 73.21011828644501 81.25 81.64 73.12936583802441 72.87394391863293
46 73.1929347826087 73.52341751918159 77.91 78.98 70.50911058239562 71.11744565960852
47 73.6584878516624 73.59135230179028 80.41 79.1 72.3000884390767 71.84305119055063
48 73.81433823529412 73.56897378516624 78.99 80.3 71.63072068416191 70.72636332537914
49 73.7971547314578 73.88666879795396 77.95 76.42 70.51399794166612 70.78723497220561
50 73.90385230179028 73.80474744245524 79.2 80.42 70.5525109378493 71.13425105526846
51 73.89625959079284 73.80234974424552 81.37 81.36 71.89093054631921 71.49060792045758
52 74.07049232736573 74.5959878516624 80.27 79.28 70.58000775904776 71.01733309342796
53 74.32624680306905 74.23873081841433 79.26 79.95 70.95897601422455 70.57368950094595
54 74.34023337595907 74.35222186700767 80.57 80.03 70.4281257330232 71.07418786027388
55 74.24872122762149 74.32664641943734 78.46 77.68 70.71083909834869 70.24345839408825
56 74.41416240409207 74.18118606138107 79.83 79.57 72.02332443672758 71.84819849689174
57 74.41975703324808 74.38339194373401 80.74 80.21 71.14405520084438 71.03806470303083
58 74.64074488491049 74.5404411764706 79.85 80.85 71.04387537984411 70.70164751936505
59 74.83296035805627 74.84175191815856 80.55 80.23 70.83635603036913 71.28901653286412
60 74.78740409207161 74.81098145780051 80.35 81.35 70.10391598988156 70.62711688142227
61 74.72906010230179 74.7554347826087 80.61 80.91 70.35300469437752 70.32602662817715
62 74.90129475703324 75.0439578005115 81.13 80.83 70.58361424092305 71.15141743480213
63 75.1738331202046 75.28013107416879 78.7 76.92 68.46653166916366 69.59624200934091
64 75.23976982097187 75.18622122762149 81.27 80.96 68.88673371173381 69.5530352196497
65 75.54987212276215 75.40321291560102 79.2 79.95 70.40242365560276 69.42169051593164
66 75.49352621483376 75.54787404092072 80.66 80.85 69.71532665025177 69.72420250518599
67 75.71571291560102 75.64657928388746 77.49 78.54 69.34162821527919 69.55493251158886
68 75.73889066496163 75.46395460358056 78.18 79.14 70.25976885505914 69.8876083567139
69 75.54587595907928 75.76286764705883 80.07 80.3 69.0528243042337 69.13688359831451
70 75.92631074168798 76.02821291560102 79.91 79.93 67.76475288137651 68.25967839352383
71 76.16328324808184 76.09934462915601 78.22 78.19 67.79955118062729 67.3538460170439
