epoch train_acc1 train_acc2 test_acc1 test_acc2 pure_ratio1 pure_ratio2
0: 0 0 10.03 10.39 0 0
1 27.958359974424553 28.21491368286445 49.06 49.48 65.47999213063154 65.48408420224281
2 36.32712595907928 36.301150895140665 59.25 59.41 67.11050402829854 67.11050402829854
3 40.44277493606138 41.036604859335036 64.51 66.15 68.77602634334998 68.7910707242737
4 43.28644501278772 43.86668797953964 67.9 69.2 70.563982714525 70.58382573419162
5 45.52909207161125 45.8667679028133 65.09 68.95 72.41603663125798 72.42056325914655
6 46.784287084398976 46.9900895140665 72.78 71.95 74.33603240230615 74.38020817538222
7 48.201726342711 48.25847186700767 74.47 71.26 75.70106274538081 75.71053513336982
8 49.19796994884911 49.222746163682864 74.08 74.55 77.77203188967897 77.79151794497062
9 49.93965792838875 49.99880115089514 74.34 74.93 80.00515583471244 79.98157063336846
10 50.80682544757033 50.77645460358056 74.36 75.95 80.06337445464128 80.0518561004966
11 51.494565217391305 51.47618286445013 78.06 77.7 80.02082706484128 80.02834925530313
12 52.35374040920716 52.33695652173913 79.13 79.66 80.08594102602682 80.10349280377116
13 52.49240728900256 52.87404092071611 79.1 77.78 80.11454102101204 80.08445225916458
14 53.142583120204606 53.106617647058826 76.98 79.04 80.07442267188213 80.09448184644708
15 53.664082480818415 53.72122762148338 79.03 78.73 80.13601060628861 80.14604019357108
16 54.16679987212276 54.05210997442455 80.63 79.63 80.13718594854826 80.14220074218949
17 54.46411445012788 54.578804347826086 80.94 79.83 80.12864512812806 80.168763477258
18 55.01158887468031 55.02677429667519 81.1 80.96 80.11454102101204 80.14462978285952
19 55.20300511508952 55.22098785166241 79.45 79.51 80.13773444160275 80.14274923524404
20 49.22434462915601 49.38419117647059 74.68 74.87 75.13299853206499 75.27120512771982
21 51.174872122762146 50.92311381074169 70.85 72.41 75.37800051983209 75.10218698823265
22 52.22626278772378 52.203884271099746 78.35 76.34 73.72830234881133 74.15429690497707
23 52.849264705882355 52.75255754475703 78.31 78.99 73.51394314331124 73.78636598051418
24 53.13059462915601 53.41032608695652 74.54 79.08 73.28752132499527 73.53518441511582
25 53.59854539641944 53.71123721227622 81.15 79.07 73.10974256316068 73.18192127485213
26 54.32584718670077 54.28348785166241 79.86 79.01 73.03605051815084 72.8327367613072
27 54.4868925831202 54.61277173913044 81.09 80.57 72.75001845567505 72.53485894374485
28 55.13067455242967 54.95044757033248 80.41 81.14 72.23351314434841 72.7979161590318
29 55.203804347826086 55.01678388746803 81.82 81.66 73.67725280351519 73.73702368854755
30 55.39282289002558 55.6190057544757 81.99 81.85 72.1763525596192 72.58491389511055
31 55.545476342711 55.64058503836317 82.38 82.88 72.10530256998088 71.759196299912
32 55.571451406649615 55.74248721227622 81.42 82.89 70.83352897833782 70.39094681140786
33 55.94709079283887 55.8931425831202 82.07 81.7 72.15632194958268 72.34800016364731
34 56.21403452685422 56.321531329923275 83.37 83.56 70.7800813491252 71.02120405563592
35 56.20204603580563 56.33391943734016 81.77 82.7 71.20701209988879 71.6238834436442
36 56.42663043478261 56.55810421994885 82.73 82.98 70.92795068135752 70.76978627592297
37 56.80187020460358 56.775895140664964 82.42 83.4 70.13127141776441 70.0702967041884
38 56.626838235294116 56.69117647058823 82.87 83.57 69.4270329175767 69.56460490018368
39 56.77869245524297 56.80866368286445 83.14 83.15 70.24251198783317 70.45021828722321
40 56.892583120204606 57.014066496163686 81.83 83.44 69.62358848863582 70.44075032030788
41 57.13794757033248 56.97730179028133 83.61 82.49 69.17054529516224 69.1276835927866
42 57.24624360613811 57.24304667519181 83.17 82.38 69.1585320310358 69.64771141816092
43 57.09598785166241 57.17071611253197 82.75 84.0 69.29706770690036 69.67599376200415
44 57.112372122762146 57.3821131713555 82.9 82.63 70.08705009062058 69.67074270708997
45 57.56753516624041 57.45524296675192 83.38 84.32 69.3683658149592 69.23492430279701
46 57.501598465473144 57.637468030690535 83.53 83.31 68.95052995941401 69.40128954117252
47 57.75975063938619 57.69900895140665 82.98 83.58 69.5964397156268 69.63292678115552
48 57.81689578005115 57.813299232736576 83.39 83.59 68.24041772246576 68.62502528814021
49 57.97914002557545 57.7389705882353 84.27 82.51 69.48339031848212 69.17853040613208
50 58.244884910485936 57.955962276214834 83.51 82.95 67.51695723725054 67.38376767183787
51 58.10342071611253 58.10821611253197 84.02 83.05 68.13836914314017 68.93189785774929
52 57.99392583120205 58.143382352941174 83.11 84.58 67.13131989489389 67.6806642849323
53 58.25647378516624 58.31122122762148 81.23 82.89 67.7680555679143 68.00436599140845
54 58.452685421994886 58.283248081841435 84.14 84.1 67.41096063469432 67.26180149773495
55 58.58815537084399 58.38954603580563 83.44 83.4 67.90221370281225 67.61959136516711
56 58.56377877237852 58.48265664961637 82.22 83.99 66.84775445961002 67.55897275981009
57 58.72921994884911 58.8914641943734 84.29 82.45 66.78309638141144 66.79317713111155
58 58.52781329923274 58.7412084398977 84.58 84.39 66.2620638166096 66.59752381175977
59 58.62412084398977 58.85230179028133 83.98 84.14 67.35974501303157 67.54164357677443
60 58.84670716112532 58.752797314578004 81.86 83.67 66.58665907970365 67.11607213585232
61 58.81513746803069 59.0301310741688 84.75 83.65 65.30095223785563 65.52500203532404
62 59.09606777493606 59.01734335038363 84.02 82.21 66.20204251357598 66.02102093595087
63 59.15640984654731 59.17679028132992 84.24 84.57 65.4497007940429 65.33950761595995
64 59.08647698209719 59.274696291560105 84.69 84.23 66.14908427079331 65.93459478486757
65 59.05690537084399 59.1036604859335 83.7 84.3 66.84039066243547 67.24221359002188
66 59.453724424552426 59.47450447570333 82.41 84.31 64.3049828493697 64.5230085274862
67 58.72602301790281 59.512468030690535 83.81 84.31 65.47376034539818 66.92401004695634
68 59.238730818414325 59.286684782608695 83.42 84.21 66.76444145695214 65.7225325622921
69 59.52285805626598 59.478900255754475 84.45 85.24 65.04670576665856 64.4634010018374
70 59.54443734015345 59.283088235294116 84.71 84.95 66.31925087397678 65.62893891234535
71 59.611173273657286 59.51206841432225 84.76 85.11 65.42864987538589 65.36774738691031
72 59.60717710997442 59.65752877237852 84.03 84.68 65.33348351237109 65.68139502756823
73 59.66472186700767 59.793797953964194 84.44 84.59 64.94988890197844 65.2783996182977
74 59.959638746803066 59.950047953964194 84.31 85.02 63.04396281262875 63.34336513016549
75 59.95324488491048 59.863331202046034 83.39 84.54 63.75305093859367 64.66713523438762
76 59.74784207161125 60.01358695652174 83.61 84.32 63.2792522564073 64.03861319954122
77 60.05954283887468 59.95404411764706 84.67 84.56 64.31986155366512 64.55065684893346
78 59.759031329923275 59.671115728900254 83.34 82.75 64.61804472444153 64.97328042175637
79 59.92407289002558 60.002797314578004 84.52 85.07 62.00603510511819 62.48397171510489
80 60.04475703324808 60.019980818414325 84.63 84.83 63.08711277733706 63.58553026044491
81 60.35805626598466 60.08032289002558 83.33 82.3 63.050852050766956 63.7989772795641
82 60.274536445012785 60.136269181585675 84.51 84.89 64.11611072510725 63.982542289297186
83 60.469549232736576 60.248161764705884 84.16 84.73 63.80350413234263 63.866095986235294
84 60.378037084398976 60.63818734015345 84.17 83.49 63.06729972048912 63.301338938696105
85 60.68294437340153 60.42199488491048 84.93 84.13 63.287252024147556 63.176882185704926
86 60.64298273657289 60.71171675191816 83.42 84.45 61.80949963973369 61.86648531038162
87 60.68654092071611 60.66496163682864 85.3 84.48 63.02560929788881 62.46602019835689
88 60.888746803069054 60.3272858056266 84.44 84.81 62.839252435731204 62.178018618956116
89 60.89434143222506 60.79923273657289 84.75 83.08 62.19572161698806 61.75654765039169
90 60.9375 60.80642583120205 85.21 83.28 60.86178018246697 61.00655326574425
91 61.08216112531969 60.89793797953964 84.99 85.09 60.92450237533495 61.043765263476566
92 61.040601023017906 61.00383631713555 83.83 83.73 60.393429589544965 60.0522804827477
93 61.0110294117647 60.921515345268546 84.62 83.49 61.914375231119465 62.11471637952767
94 61.003037084398976 61.0613810741688 85.73 85.84 62.0976176882977 62.42058901409575
95 61.29195971867008 61.42543158567775 83.49 84.08 59.848822048686635 60.35408106511609
96 61.159287084398976 61.268382352941174 84.63 85.28 59.73431279832862 59.99699373857085
97 61.15609015345269 61.41664002557545 83.99 83.84 60.84216221495207 60.863104113432684
98 61.267183503836314 61.34031329923274 85.31 84.75 60.10936098442931 60.57732497255074
99 61.16568094629156 61.49136828644501 85.04 84.47 58.841583936700054 59.474583429375095
100 61.560501918158565 61.29955242966752 84.26 84.63 60.14849197657229 59.94729175092499
101 61.71035805626598 61.55330882352941 85.63 85.05 59.98570049043943 58.73574413818134
102 61.785485933503836 61.646019820971865 85.31 85.58 60.07769070522939 59.33236292985053
103 61.598865089514064 61.56569693094629 85.63 85.14 59.192790251607825 59.035498234830285
104 61.67599104859335 61.3355179028133 84.81 85.39 60.70204873164064 60.463955888573636
105 61.98649296675192 61.70716112531969 85.0 85.27 58.94855668795039 58.469128957546765
106 61.78868286445013 61.996882992327365 84.97 84.92 58.29459264070637 58.67216203568965
